Result Number,EE_DISPLAY_ID,EE_ORDERING_ID,DOWNLOADABLE,ON_DEMAND,Landsat Scene Identifier,Spacecraft Identifier,Sensor Mode,Station Identifier,Day/Night,WRS Path,WRS Row,WRS Type,Date Acquired,Start Time,Stop Time,Sensor Anomalies,Acquisition Quality,Quality Band 1,Quality Band 2,Quality Band 3,Quality Band 4,Quality Band 5,Quality Band 6,Quality Band 7,Cloud Cover,Cloud Cover Quad Upper Left,Cloud Cover Quad Upper Right,Cloud Cover Quad Lower Left,Cloud Cover Quad Lower Right,Sun Elevation,Sun Azimuth,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Browse  Exists,Data Category,Map Projection LORa,Data Type L0Rp,Data Type Level 1,Elevation Source,Output Format,Ephemeris Type,Corner UL Latitude Product,Corner UL Longitude Product,Corner UR Latitude Product,Corner UR Longitude Product,Corner LL Latitude Product,Corner LL Longitude Product,Corner LR Latitude Product,Corner LR Longitude Product,Reflective Samples,Reflective Lines,Thermal Lines,Thermal Samples,Ground Control Points Model,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Geometric RMSE Verify,Map Projection Level 1,Datum,Ellipsoid,UTM Zone,Vertical Long from Pole,True Scale Latitude,False Easting,False Northing,Grid Cell Size Reflective,Grid Cell Size Thermal,Orientation,Resampling Option,Scene Center Latitude dec,Scene Center Longitude dec,Corner Upper Left Lat dec,Corner Upper Left Long dec,Corner Upper Right Lat dec,Corner Upper Right Long dec,Corner Lower Left Lat dec,Corner Lower Left Long dec,Corner Lower Right Lat dec,Corner Lower Right Long dec
1,LT50200472011061CHM00,LT50200472011061CHM00,0,Y,LT50200472011061CHM00,LANDSAT_5,BUMPER,CHM,DAY, 020, 047,2,2011/03/02,2011:061:16:12:39.66713,2011:061:16:13:06.28000,N,9,9,9,9,9,9,9,9,6.08,5.85,.44,17.75,.28,50.89098643,128.84471958, 18.78563   (18°47'08.27"N), -89.85370   (89°51'13.32"W), 19.70445   (19°42'16.02"N), -90.54279  (90°32'34.04"W), 19.45106   (19°27'03.82"N), -88.80004   (88°48'00.14"W), 18.11487   (18°06'53.53"N), -90.89957   (90°53'58.45"W), 17.86377 (17°51'49.57"N), -89.17260   (89°10'21.36"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.71198   (19°42'43.13"N), -91.01865   (91°01'07.14"S), 19.74876   (19°44'55.54"N), -88.72548   (88°43'31.73"S), 17.80243   (17°48'08.75"N), -90.97362  (90°58'25.03"W), 17.83540   (17°50'07.44"N), -88.70609   (88°42'21.92"S),8021,7061,7061,8021,81,5.638,3.669,4.281,.246,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.78563,-89.8537,19.71198,-91.01865,19.74876,-88.72548,17.80243,-90.97362,17.8354,-88.70609
2,LT50200472011045CHM00,LT50200472011045CHM00,0,Y,LT50200472011045CHM00,LANDSAT_5,BUMPER,CHM,DAY, 020, 047,2,2011/02/14,2011:045:16:12:40.78513,2011:045:16:13:07.39800,N,9,9,9,9,9,9,9,9,1.3,.01,.19,.01,5.01,46.48480073,134.65389439, 18.78230   (18°46'56.28"N), -89.85101   (89°51'03.64"W), 19.70112   (19°42'04.03"N), -90.54009  (90°32'24.32"W), 19.44773   (19°26'51.83"N), -88.79737   (88°47'50.53"W), 18.11154   (18°06'41.54"N), -90.89686   (90°53'48.70"W), 17.86044 (17°51'37.58"N), -89.16992   (89°10'11.71"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.71198   (19°42'43.13"N), -91.01865   (91°01'07.14"S), 19.74876   (19°44'55.54"N), -88.72548   (88°43'31.73"S), 17.79972   (17°47'58.99"N), -90.97356  (90°58'24.82"W), 17.83269   (17°49'57.68"N), -88.70607   (88°42'21.85"S),8021,7071,7071,8021,92,6.273,3.329,5.317,.28,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.7823,-89.85101,19.71198,-91.01865,19.74876,-88.72548,17.79972,-90.97356,17.83269,-88.70607
3,LT50200472010026CHM00,LT50200472010026CHM00,0,Y,LT50200472010026CHM00,LANDSAT_5,BUMPER,CHM,DAY, 020, 047,2,2010/01/26,2010:026:16:13:33.12863,2010:026:16:13:59.74156,N,9,9,9,9,9,9,9,9,.01,0,0,.04,0,42.6554873,140.53302958, 18.78694   (18°47'12.98"N), -89.85746   (89°51'26.86"W), 19.70576   (19°42'20.74"N), -90.54656  (90°32'47.62"W), 19.45237   (19°27'08.53"N), -88.80379   (88°48'13.64"W), 18.11618   (18°06'58.25"N), -90.90334   (90°54'12.02"W), 17.86508 (17°51'54.29"N), -89.17635   (89°10'34.86"W),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 19.71456   (19°42'52.42"N), -91.02443   (91°01'27.95"S), 19.75131   (19°45'04.72"N), -88.74268   (88°44'33.65"S), 17.80231   (17°48'08.32"N), -90.97926  (90°58'45.34"W), 17.83525   (17°50'06.90"N), -88.72307   (88°43'23.05"S),7981,7071,7071,7981,116,5.322,3.124,4.309,.291,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.78694,-89.85746,19.71456,-91.02443,19.75131,-88.74268,17.80231,-90.97926,17.83525,-88.72307
4,LT50200472009343CHM00,LT50200472009343CHM00,0,Y,LT50200472009343CHM00,LANDSAT_5,BUMPER,CHM,DAY, 020, 047,2,2009/12/09,2009:343:16:13:16.51575,2009:343:16:13:43.12869,N,9,9,9,9,9,9,9,9,6.06,4.85,9.53,.01,9.86,41.90889953,148.96826815, 18.78495   (18°47'05.82"N), -89.85562   (89°51'20.23"W), 19.70377   (19°42'13.57"N), -90.54471  (90°32'40.96"W), 19.45038   (19°27'01.37"N), -88.80196   (88°48'07.06"W), 18.11419   (18°06'51.08"N), -90.90148   (90°54'05.33"W), 17.86309 (17°51'47.12"N), -89.17452   (89°10'28.27"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.70902   (19°42'32.47"N), -91.03001   (91°01'48.04"S), 19.74592   (19°44'45.31"N), -88.73976   (88°44'23.14"S), 17.79949   (17°47'58.16"N), -90.98485  (90°59'05.46"W), 17.83257   (17°49'57.25"N), -88.72022   (88°43'12.79"S),8011,7061,7061,8011,32,5.451,4.271,3.387,.439,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.78495,-89.85562,19.70902,-91.03001,19.74592,-88.73976,17.79949,-90.98485,17.83257,-88.72022
5,LT50200472001193LGS00,LT50200472001193LGS00,0,Y,LT50200472001193LGS00,LANDSAT_5,N/A,LGS,DAY, 020, 047,2,2001/07/12,2001:193:16:03:06.28444,2001:193:16:03:33.41344,N,9,9,9,9,9,9,9,9,10,10,20,0,20,61.3272865,78.52447457, 18.79714   (18°47'49.70"N), -89.92279   (89°55'22.04"W), 19.71597   (19°42'57.49"N), -90.61193  (90°36'42.95"W), 19.46256   (19°27'45.22"N), -88.86905   (88°52'08.58"W), 18.12639   (18°07'35.00"N), -90.96873   (90°58'07.43"W), 17.87527 (17°52'30.97"N), -89.24165   (89°14'29.94"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.73542   (19°44'07.51"N), -91.05925   (91°03'33.30"S), 19.77230   (19°46'20.28"N), -88.81162   (88°48'41.83"S), 17.80433   (17°48'15.59"N), -91.01321  (91°00'47.56"W), 17.83735   (17°50'14.46"N), -88.79102   (88°47'27.67"S),7861,7141,7141,7861,34,5.235,4.148,3.193,.884,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.79714,-89.92279,19.73542,-91.05925,19.7723,-88.81162,17.80433,-91.01321,17.83735,-88.79102
6,LT50200472001177XXX02,LT50200472001177XXX02,0,Y,LT50200472001177XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,2001/06/26,2001:177:16:03:03.36113,2001:177:16:03:30.48938,N,9,9,9,9,9,9,9,9,70,70,80,60,80,61.89946037,75.43647754, 18.79925   (18°47'57.30"N), -89.90450   (89°54'16.20"W), 19.71808   (19°43'05.09"N), -90.59365  (90°35'37.14"W), 19.46467   (19°27'52.81"N), -88.85074   (88°51'02.66"W), 18.12850   (18°07'42.60"N), -90.95045   (90°57'01.62"W), 17.87738 (17°52'38.57"N), -89.22335   (89°13'24.06"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,,GEOTIFF,DEFINITIVE, 19.74121   (19°44'28.36"N), -91.04225   (91°02'32.10"S), 19.77792   (19°46'40.51"N), -88.79164   (88°47'29.90"S), 17.81008   (17°48'36.29"N), -90.99639  (90°59'47.00"W), 17.84295   (17°50'34.62"N), -88.77126   (88°46'16.54"S),7871,7141,7141,7871,,,,,,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.79925,-89.9045,19.74121,-91.04225,19.77792,-88.79164,17.81008,-90.99639,17.84295,-88.77126
7,LT50200472001161XXX03,LT50200472001161XXX03,0,Y,LT50200472001161XXX03,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,2001/06/10,2001:161:16:03:04.24344,2001:161:16:03:31.37081,N,9,9,9,9,9,9,9,9,10,0,10,0,10,62.70386142,75.95398949, 18.79863   (18°47'55.07"N), -89.90734   (89°54'26.42"W), 19.71746   (19°43'02.86"N), -90.59648  (90°35'47.33"W), 19.46405   (19°27'50.58"N), -88.85359   (88°51'12.92"W), 18.12788   (18°07'40.37"N), -90.95329   (90°57'11.84"W), 17.87676 (17°52'36.34"N), -89.22619   (89°13'34.28"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.74115   (19°44'28.14"N), -91.04510   (91°02'42.36"S), 19.77790   (19°46'40.44"N), -88.79450   (88°47'40.20"S), 17.80732   (17°48'26.35"N), -90.99915  (90°59'56.94"W), 17.84022   (17°50'24.79"N), -88.77406   (88°46'26.62"S),7871,7151,7151,7871,93,5.954,3.356,4.918,10.185,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.79863,-89.90734,19.74115,-91.0451,19.7779,-88.7945,17.80732,-90.99915,17.84022,-88.77406
8,LT50200472001145XXX02,LT50200472001145XXX02,0,Y,LT50200472001145XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,2001/05/25,2001:145:16:02:57.25044,2001:145:16:03:24.37656,N,9,9,9,9,9,9,9,9,20,0,10,30,20,63.3234777,80.34138158, 18.79031   (18°47'25.12"N), -89.87899   (89°52'44.36"W), 19.70914   (19°42'32.90"N), -90.56810  (90°34'05.16"W), 19.45573   (19°27'20.63"N), -88.82529   (88°49'31.04"W), 18.11956   (18°07'10.42"N), -90.92489   (90°55'29.60"W), 17.86845 (17°52'06.42"N), -89.19787   (89°11'52.33"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.72827   (19°43'41.77"N), -91.01620   (91°00'58.32"S), 19.76460   (19°45'52.56"N), -88.76859   (88°46'06.92"S), 17.79708   (17°47'49.49"N), -90.97067  (90°58'14.41"W), 17.82961   (17°49'46.60"N), -88.74849   (88°44'54.56"S),7861,7141,7141,7861,46,4.074,2.705,3.047,.373,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.79031,-89.87899,19.72827,-91.0162,19.7646,-88.76859,17.79708,-90.97067,17.82961,-88.74849
9,LT50200472001129XXX02,LT50200472001129XXX02,0,Y,LT50200472001129XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,2001/05/09,2001:129:16:02:53.48463,2001:129:16:03:20.60981,N,9,9,9,9,9,9,9,9,40,70,20,50,20,63.20435598,88.22805289, 18.78683   (18°47'12.59"N), -89.86507   (89°51'54.25"W), 19.70565   (19°42'20.34"N), -90.55417  (90°33'15.01"W), 19.45226   (19°27'08.14"N), -88.81140   (88°48'41.04"W), 18.11607   (18°06'57.85"N), -90.91095   (90°54'39.42"W), 17.86497 (17°51'53.89"N), -89.18396   (89°11'02.26"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.73406   (19°44'02.62"N), -90.99920   (90°59'57.12"S), 19.77019   (19°46'12.68"N), -88.75147   (88°45'05.29"S), 17.80554   (17°48'19.94"N), -90.95391  (90°57'14.08"W), 17.83789   (17°50'16.40"N), -88.73159   (88°43'53.72"S),7861,7131,7131,7861,55,4.507,3.116,3.257,10.677,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.78683,-89.86507,19.73406,-90.9992,19.77019,-88.75147,17.80554,-90.95391,17.83789,-88.73159
10,LT50200472001113XXX02,LT50200472001113XXX02,0,Y,LT50200472001113XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,2001/04/23,2001:113:16:02:46.64906,2001:113:16:03:13.77331,N,9,9,9,9,9,9,9,9,10,0,20,0,10,61.76681641,98.18603257, 18.78142   (18°46'53.11"N), -89.84151   (89°50'29.44"W), 19.70024   (19°42'00.86"N), -90.53059  (90°31'50.12"W), 19.44685   (19°26'48.66"N), -88.78787   (88°47'16.33"W), 18.11066   (18°06'38.38"N), -90.88735   (90°53'14.46"W), 17.85956 (17°51'34.42"N), -89.16042   (89°09'37.51"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.71835   (19°43'06.06"N), -90.97595   (90°58'33.42"S), 19.75413   (19°45'14.87"N), -88.73126   (88°43'52.54"S), 17.78705   (17°47'13.38"N), -90.93090  (90°55'51.24"W), 17.81909   (17°49'08.72"N), -88.71160   (88°42'41.76"S),7851,7141,7141,7851,62,3.650,2.456,2.7,.245,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.78142,-89.84151,19.71835,-90.97595,19.75413,-88.73126,17.78705,-90.9309,17.81909,-88.7116
11,LT50200472001097XXX02,LT50200472001097XXX02,0,Y,LT50200472001097XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,2001/04/07,2001:097:16:02:36.47400,2001:097:16:03:03.59738,N,9,9,9,9,9,9,9,9,10,10,20,0,20,58.84440945,108.23500084, 18.77630   (18°46'34.68"N), -89.80749   (89°48'26.96"W), 19.69512   (19°41'42.43"N), -90.49655  (90°29'47.58"W), 19.44174   (19°26'30.26"N), -88.75389   (88°45'14.00"W), 18.10553   (18°06'19.91"N), -90.85330   (90°51'11.88"W), 17.85445 (17°51'16.02"N), -89.12642   (89°07'35.11"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.68923   (19°41'21.23"N), -90.94666   (90°56'47.98"S), 19.72462   (19°43'28.63"N), -88.69946   (88°41'58.06"S), 17.76057   (17°45'38.05"N), -90.90207  (90°54'07.45"W), 17.79226   (17°47'32.14"N), -88.68022   (88°40'48.79"S),7861,7131,7131,7861,64,3.780,2.752,2.591,.217,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.7763,-89.80749,19.68923,-90.94666,19.72462,-88.69946,17.76057,-90.90207,17.79226,-88.68022
12,LT50200472001081XXX02,LT50200472001081XXX02,0,Y,LT50200472001081XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,2001/03/22,2001:081:16:02:51.19350,2001:081:16:03:18.31606,N,9,9,9,9,9,9,9,9,0,0,0,0,0,54.86606496,117.16557719, 18.79038   (18°47'25.37"N), -89.87934   (89°52'45.62"W), 19.70921   (19°42'33.16"N), -90.56845  (90°34'06.42"W), 19.45580   (19°27'20.88"N), -88.82564   (88°49'32.30"W), 18.11963   (18°07'10.67"N), -90.92524   (90°55'30.86"W), 17.86852 (17°52'06.67"N), -89.19822   (89°11'53.59"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.72557   (19°43'32.05"N), -91.01613   (91°00'58.07"S), 19.76189   (19°45'42.80"N), -88.76856   (88°46'06.82"S), 17.79437   (17°47'39.73"N), -90.97061  (90°58'14.20"W), 17.82690   (17°49'36.84"N), -88.74846   (88°44'54.46"S),7861,7141,7141,7861,233,3.704,2.436,2.79,.176,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.79038,-89.87934,19.72557,-91.01613,19.76189,-88.76856,17.79437,-90.97061,17.8269,-88.74846
13,LT50200472001065XXX02,LT50200472001065XXX02,0,Y,LT50200472001065XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,2001/03/06,2001:065:16:02:50.76225,2001:065:16:03:17.88388,N,9,9,9,9,9,9,9,9,0,0,0,0,0,50.30254004,124.5504361, 18.79255   (18°47'33.18"N), -89.89474   (89°53'41.06"W), 19.71138   (19°42'40.97"N), -90.58386  (90°35'01.90"W), 19.45797   (19°27'28.69"N), -88.84103   (88°50'27.71"W), 18.12180   (18°07'18.48"N), -90.94065   (90°56'26.34"W), 17.87069 (17°52'14.48"N), -89.21361   (89°12'49.00"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.72518   (19°43'30.65"N), -91.03327   (91°01'59.77"S), 19.76175   (19°45'42.30"N), -88.78287   (88°46'58.33"S), 17.79403   (17°47'38.51"N), -90.98756  (90°59'15.22"W), 17.82677   (17°49'36.37"N), -88.76261   (88°45'45.40"S),7871,7141,7141,7871,182,4.046,2.474,3.202,.209,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.79255,-89.89474,19.72518,-91.03327,19.76175,-88.78287,17.79403,-90.98756,17.82677,-88.76261
14,LT50200472001049AAA04,LT50200472001049AAA04,0,Y,LT50200472001049AAA04,LANDSAT_5,N/A,AAA,DAY, 020, 047,2,2001/02/18,2001:049:16:02:44.28413,2001:049:16:03:11.40500,N,9,9,9,9,9,9,9,9,40,70,20,40,20,45.87274773,130.66855959, 18.78968   (18°47'22.85"N), -89.89104   (89°53'27.74"W), 19.70851   (19°42'30.64"N), -90.58015  (90°34'48.54"W), 19.45511   (19°27'18.40"N), -88.83735   (88°50'14.46"W), 18.11892   (18°07'08.11"N), -90.93693   (90°56'12.95"W), 17.86782 (17°52'04.15"N), -89.20992   (89°12'35.71"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,,GEOTIFF,DEFINITIVE, 19.72531   (19°43'31.12"N), -91.02756   (91°01'39.22"S), 19.76184   (19°45'42.62"N), -88.77428   (88°46'27.41"S), 17.79414   (17°47'38.90"N), -90.98191  (90°58'54.88"W), 17.82685   (17°49'36.66"N), -88.75412   (88°45'14.83"S),7881,7141,7141,7881,,,,,,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.78968,-89.89104,19.72531,-91.02756,19.76184,-88.77428,17.79414,-90.98191,17.82685,-88.75412
15,LT50200472001033XXX02,LT50200472001033XXX02,0,Y,LT50200472001033XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,2001/02/02,2001:033:16:02:41.37794,2001:033:16:03:08.49763,N,9,9,9,9,9,9,9,9,30,20,20,60,20,42.22008282,135.8490078, 18.79654   (18°47'47.54"N), -89.90621   (89°54'22.36"W), 19.71537   (19°42'55.33"N), -90.59535  (90°35'43.26"W), 19.46196   (19°27'43.06"N), -88.85247   (88°51'08.89"W), 18.12579   (18°07'32.84"N), -90.95215   (90°57'07.74"W), 17.87467 (17°52'28.81"N), -89.22507   (89°13'30.25"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.74398   (19°44'38.33"N), -91.03946   (91°02'22.06"S), 19.78066   (19°46'50.38"N), -88.78881   (88°47'19.72"S), 17.81826   (17°49'05.74"N), -90.99375  (90°59'37.50"W), 17.85111   (17°51'04.00"N), -88.76851   (88°46'06.64"S),7871,7121,7121,7871,31,25.327,24.438,6.651,12.576,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.79654,-89.90621,19.74398,-91.03946,19.78066,-88.78881,17.81826,-90.99375,17.85111,-88.76851
16,LT50200472001017XXX02,LT50200472001017XXX02,0,Y,LT50200472001017XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,2001/01/17,2001:017:16:02:34.18525,2001:017:16:03:01.30431,N,9,9,9,9,9,9,9,9,0,0,0,0,10,39.80235314,140.1713671, 18.79744   (18°47'50.78"N), -89.90941   (89°54'33.88"W), 19.71627   (19°42'58.57"N), -90.59855  (90°35'54.78"W), 19.46286   (19°27'46.30"N), -88.85567   (88°51'20.41"W), 18.12669   (18°07'36.08"N), -90.95535   (90°57'19.26"W), 17.87557 (17°52'32.05"N), -89.22827   (89°13'41.77"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.73304   (19°43'58.94"N), -91.04490   (91°02'41.64"S), 19.76977   (19°46'11.17"N), -88.79441   (88°47'39.88"S), 17.80191   (17°48'06.88"N), -90.99903  (90°59'56.51"W), 17.83480   (17°50'05.28"N), -88.77401   (88°46'26.44"S),7871,7141,7141,7871,139,4.197,2.914,3.021,.274,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.79744,-89.90941,19.73304,-91.0449,19.76977,-88.79441,17.80191,-90.99903,17.8348,-88.77401
17,LT50200472001001AAA02,LT50200472001001AAA02,0,Y,LT50200472001001AAA02,LANDSAT_5,N/A,AAA,DAY, 020, 047,2,2001/01/01,2001:001:16:02:23.84219,2001:001:16:02:50.96038,N,9,9,9,9,9,9,9,9,70,80,70,70,80,38.92203277,143.53296019, 18.79767   (18°47'51.61"N), -89.90349   (89°54'12.56"W), 19.71650   (19°42'59.40"N), -90.59263  (90°35'33.47"W), 19.46309   (19°27'47.12"N), -88.84974   (88°50'59.06"W), 18.12692   (18°07'36.91"N), -90.94943   (90°56'57.95"W), 17.87580 (17°52'32.88"N), -89.22235   (89°13'20.46"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,,GEOTIFF,DEFINITIVE, 19.73593   (19°44'09.35"N), -91.03640   (91°02'11.04"S), 19.77253   (19°46'21.11"N), -88.78872   (88°47'19.39"S), 17.80479   (17°48'17.24"N), -90.99062  (90°59'26.23"W), 17.83756   (17°50'15.22"N), -88.76838   (88°46'06.17"S),7861,7141,7141,7861,,,,,,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.79767,-89.90349,19.73593,-91.0364,19.77253,-88.78872,17.80479,-90.99062,17.83756,-88.76838
18,LT50200472000351AAA04,LT50200472000351AAA04,0,Y,LT50200472000351AAA04,LANDSAT_5,N/A,AAA,DAY, 020, 047,2,2000/12/16,2000:351:16:02:11.23481,2000:351:16:02:38.35250,N,9,9,9,9,9,9,9,9,20,10,20,10,30,39.65779129,145.65297152, 18.79706   (18°47'49.42"N), -89.89273   (89°53'33.83"W), 19.71589   (19°42'57.20"N), -90.58187  (90°34'54.73"W), 19.46248   (19°27'44.93"N), -88.83899   (88°50'20.36"W), 18.12631   (18°07'34.72"N), -90.93867   (90°56'19.21"W), 17.87519 (17°52'30.68"N), -89.21159   (89°12'41.72"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.73619   (19°44'10.28"N), -91.02497   (91°01'29.89"S), 19.77265   (19°46'21.54"N), -88.77727   (88°46'38.17"S), 17.80502   (17°48'18.07"N), -90.97932  (90°58'45.55"W), 17.83766   (17°50'15.58"N), -88.75706   (88°45'25.42"S),7861,7141,7141,7861,71,4.218,2.818,3.138,11.249,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.79706,-89.89273,19.73619,-91.02497,19.77265,-88.77727,17.80502,-90.97932,17.83766,-88.75706
19,LT50200472000335XXX02,LT50200472000335XXX02,0,Y,LT50200472000335XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,2000/11/30,2000:335:16:01:54.84569,2000:335:16:02:21.96244,N,9,9,9,9,9,9,9,9,50,10,20,60,70,41.84804948,146.13495896, 18.78510   (18°47'06.36"N), -89.87105   (89°52'15.78"W), 19.70392   (19°42'14.11"N), -90.56014  (90°33'36.50"W), 19.45053   (19°27'01.91"N), -88.81739   (88°49'02.60"W), 18.11434   (18°06'51.62"N), -90.91691   (90°55'00.88"W), 17.86324 (17°51'47.66"N), -89.18995   (89°11'23.82"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.71230   (19°42'44.28"N), -91.00437   (91°00'15.73"S), 19.74851   (19°44'54.64"N), -88.75124   (88°45'04.46"S), 17.77566   (17°46'32.38"N), -90.95890  (90°57'32.04"W), 17.80808   (17°48'29.09"N), -88.73130   (88°43'52.68"S),7881,7161,7161,7881,37,16.165,11.37,11.491,13.249,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.7851,-89.87105,19.7123,-91.00437,19.74851,-88.75124,17.77566,-90.9589,17.80808,-88.7313
20,LT50200472000303XXX02,LT50200472000303XXX02,0,Y,LT50200472000303XXX02,LANDSAT_5,N/A,XXX,DAY, 020, 047,2,2000/10/29,2000:303:16:01:29.13819,2000:303:16:01:56.25375,N,9,9,9,9,9,9,9,9,10,0,10,0,10,49.01345856,140.61336082, 18.78615   (18°47'10.14"N), -89.86595   (89°51'57.42"W), 19.70497   (19°42'17.89"N), -90.55505  (90°33'18.18"W), 19.45158   (19°27'05.69"N), -88.81228   (88°48'44.21"W), 18.11539   (18°06'55.40"N), -90.91182   (90°54'42.55"W), 17.86429 (17°51'51.44"N), -89.18485   (89°11'05.46"W),Yes                                ,NOMINAL,NA,TMR_L0RP,PROCESSING REQUIRED,GLS2000,GEOTIFF,PREDICTIVE, 19.71501   (19°42'54.04"N), -91.00444   (91°00'15.98"S), 19.75120   (19°45'04.32"N), -88.75413   (88°45'14.87"S), 17.78378   (17°47'01.61"N), -90.95908  (90°57'32.69"W), 17.81618   (17°48'58.25"N), -88.73421   (88°44'03.16"S),7871,7141,7141,7871,38,4.848,3.613,3.233,1.927,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,18.78615,-89.86595,19.71501,-91.00444,19.7512,-88.75413,17.78378,-90.95908,17.81618,-88.73421
